aquired_current,ambiant_temperature,mixing_cycle_flowrate,chaud_flowrate,froid_flowrate,out_aerotherme,out_heat_exchanger,temp_out_froid,temp_in_froid,temp_out_chaud,temp_in_chaud,aerotherme_acquis,process_value
11.751627,21.193748,9.03169,14.417313,16.389781,41.699682,16.969295,16.411867,25.80325,41.016263,30.187239,25,30.187239
11.756207,21.182799,9.059818,14.454976,16.412296,41.710452,16.970049,16.412118,25.78434,41.027916,30.188501,25,30.188501
11.758344,21.17744,9.028065,14.444332,16.392647,41.725024,16.97225,16.41259,25.764957,41.042641,30.189448,25,30.189448
11.78521,21.17005,9.011246,14.461936,16.398787,41.736174,16.97225,16.412841,25.74882,41.054294,30.189953,25,30.189953
11.778188,21.173027,9.014291,14.450473,16.395512,41.746755,16.971401,16.412716,25.70517,41.064237,30.190647,25,30.190647
11.769029,21.177084,9.03546,14.387428,16.412296,41.757462,16.970143,16.414287,25.672582,41.073041,30.191783,25,30.191783
11.80139,21.176442,9.045029,14.394797,16.402471,41.767757,16.968697,16.417493,25.673433,41.082097,30.193109,25,30.193109
11.784904,21.169127,9.063298,14.404212,16.427442,41.775867,16.967063,16.420133,25.7139,41.093624,30.193866,25,30.193866
11.817876,21.165876,9.052714,14.426729,16.436858,41.786638,16.965491,16.428618,25.739428,41.107399,30.193708,25,30.193708
11.817266,21.153337,9.050974,14.434098,16.445864,41.796902,16.96373,16.43327,25.722535,41.118165,30.193961,25,30.193961
11.819708,21.153847,9.019221,14.426319,16.436448,41.807546,16.962064,16.437827,25.697133,41.131972,30.194687,25,30.194687
11.807496,21.15212,9.020961,14.435326,16.429899,41.81876,16.960618,16.441221,25.668391,41.145272,30.19576,25,30.19576
11.846269,21.145106,9.011681,14.427138,16.413115,41.830703,16.959486,16.442258,25.645164,41.157147,30.196707,25,30.196707
11.82215,21.135985,9.023716,14.434507,16.412296,41.843501,16.958732,16.439618,25.639995,41.169308,30.196707,25,30.196707
11.803833,21.141121,8.995152,14.416494,16.419665,41.857282,16.958103,16.437733,25.688687,41.182766,30.199074,25,30.199074
11.789179,21.131307,8.971518,14.446789,16.40329,41.867799,16.957474,16.437355,25.759914,41.194673,30.19819,25,30.19819
11.786736,21.135933,8.987903,14.434507,16.381185,41.879077,16.956374,16.438864,25.775357,41.20601,30.198727,25,30.198727
11.811465,21.137528,9.006751,14.450883,16.37136,41.890165,16.955053,16.443012,25.774223,41.216334,30.199105,25,30.199105
11.791621,21.131111,9.012986,14.448017,16.391828,41.900714,16.953607,16.449298,25.776145,41.225739,30.1992,25,30.1992
11.791926,21.126217,9.017626,14.463164,16.395103,41.910978,16.951972,16.455961,25.781188,41.234859,30.200336,25,30.200336
11.797116,21.131021,9.052134,14.470943,16.395512,41.921908,16.949929,16.466333,25.842016,41.241985,30.201441,25,30.201441
11.803833,21.130774,9.062573,14.427547,16.380775,41.928497,16.948923,16.473373,25.879207,41.246925,30.200683,25,30.200683
11.834667,21.133067,9.010521,14.404622,16.380775,41.934041,16.947634,16.482204,25.90004,41.25405,30.201251,25,30.201251
11.852985,21.129314,8.968474,14.411172,16.431945,41.938667,16.946817,16.492198,25.915169,41.260131,30.202388,25,30.202388
11.848711,21.143445,8.981668,14.439829,16.421711,41.943007,16.946565,16.503167,25.935089,41.265894,30.20365,25,30.20365
11.895726,21.147669,8.972098,14.445561,16.403699,41.948202,16.946314,16.515362,25.970138,41.276028,30.204912,25,30.204912
11.895726,21.153525,8.969344,14.422225,16.401653,41.955806,16.945528,16.530448,25.97912,41.288537,30.205701,25,30.205701
11.899695,21.162166,8.973693,14.425091,16.388962,41.963155,16.94427,16.543397,25.969791,41.304245,30.208353,25,30.208353
11.91496,21.170335,9.011971,14.378421,16.431536,41.972976,16.944333,16.558137,25.971241,41.317102,30.209489,25,30.209489
11.93572,21.177827,9.016611,14.411991,16.432764,41.984761,16.944019,16.573538,25.960398,41.330783,30.210562,25,30.210562
11.962586,21.179309,9.014001,14.396434,16.446682,41.998131,16.943264,16.589064,25.933324,41.346808,30.212171,25,30.212171
11.962891,21.193066,9.03169,14.414447,16.457326,42.01283,16.943641,16.604779,25.905209,41.364542,30.214065,25,30.214065
11.960143,21.204142,9.065183,14.423044,16.439314,42.031522,16.94427,16.624894,25.897803,41.390036,30.216432,25,30.216432
11.970218,21.219247,9.017626,14.419769,16.392647,42.049897,16.943516,16.641992,25.892382,41.410685,30.216558,25,30.216558
11.986398,21.228067,9.017046,14.421407,16.408202,42.070268,16.944365,16.656356,25.910315,41.431428,30.217253,25,30.217253
11.981514,21.230219,9.059818,14.411581,16.438495,42.092509,16.945811,16.669997,25.932693,41.450874,30.218641,25,30.218641
11.962586,21.233242,9.066053,14.454976,16.442179,42.115985,16.94732,16.682758,25.946499,41.468894,30.220314,25,30.220314
11.957701,21.252353,9.03053,14.449654,16.438904,42.139556,16.948829,16.692313,25.944607,41.48663,30.221324,25,30.221324
11.978766,21.271204,9.001822,14.427957,16.404109,42.16712,16.951029,16.700328,25.984163,41.509116,30.223533,25,30.223533
11.968691,21.272214,9.000372,14.422225,16.403699,42.188537,16.951532,16.703597,25.992484,41.526725,30.224543,25,30.224543
11.979682,21.279947,9.020961,14.416085,16.400015,42.209289,16.953356,16.705828,26.009316,41.543859,30.225458,25,30.225458
11.990367,21.303286,9.042129,14.398481,16.411477,42.229693,16.955431,16.706646,26.036548,41.559884,30.226532,25,30.226532
11.979987,21.321365,9.066778,14.415675,16.42908,42.249178,16.957348,16.706331,26.062331,41.574421,30.227573,25,30.227573
11.96686,21.308233,9.069533,14.406669,16.418846,42.266287,16.95936,16.705828,26.061071,41.587343,30.227952,25,30.227952
11.94091,21.302084,9.057064,14.406259,16.413524,42.284347,16.961247,16.705357,26.047675,41.601754,30.229688,25,30.229688
11.929919,21.304828,9.018206,14.389884,16.404928,42.29702,16.961624,16.706237,26.03305,41.613282,30.231455,25,30.231455
11.926561,21.314216,9.005012,14.376374,16.417618,42.309598,16.962095,16.709003,26.02164,41.622531,30.231613,25,30.231613
11.931751,21.312016,8.983408,14.394387,16.437267,42.320181,16.962284,16.711643,26.026431,41.629752,30.232244,25,30.232244
11.920455,21.300562,9.015596,14.417313,16.432764,42.328641,16.962441,16.714126,26.038093,41.635706,30.233759,25,30.233759
11.90977,21.294275,9.015741,14.413219,16.426214,42.336625,16.963447,16.718401,26.024981,41.64166,30.234895,25,30.234895
11.927477,21.275654,9.061123,14.398072,16.447092,42.344071,16.962976,16.72673,25.965567,41.64942,30.238051,25,30.238051
11.932056,21.266823,9.04039,14.405441,16.42253,42.34838,16.962976,16.732639,25.96002,41.654994,30.239187,25,30.239187
11.921981,21.254278,9.010086,14.400528,16.428261,42.352594,16.962976,16.739208,25.975464,41.659619,30.241554,25,30.241554
11.925034,21.266229,9.02415,14.403803,16.432355,42.354938,16.96329,16.744803,25.982524,41.663926,30.243574,25,30.243574
11.908854,21.255481,9.024295,14.413628,16.439314,42.355667,16.963699,16.748984,25.985519,41.667917,30.245216,25,30.245216
11.94091,21.251081,9.052859,14.433279,16.397968,42.357061,16.963447,16.752504,26.022459,41.670957,30.247993,25,30.247993
11.938467,21.239813,9.0343,14.432051,16.407384,42.355952,16.96439,16.752818,26.022617,41.674916,30.249571,25,30.249571
11.929919,21.230649,8.964124,14.369415,16.437267,42.355065,16.964642,16.752944,25.955671,41.677577,30.251086,25,30.251086
11.922287,21.218524,8.990657,14.401756,16.458144,42.354273,16.965742,16.75241,25.942338,41.681282,30.25279,25,30.25279
11.924424,21.217856,9.017916,14.413219,16.48025,42.353386,16.966434,16.751027,25.943977,41.685273,30.254305,25,30.254305
11.93114,21.217821,9.056339,14.467667,16.471653,42.352562,16.966842,16.748638,25.947759,41.688979,30.255662,25,30.255662
11.950984,21.218035,9.065908,14.457433,16.423349,42.352309,16.968477,16.745117,25.96667,41.692019,30.257303,25,30.257303
11.949763,21.210737,9.02966,14.430413,16.412705,42.35215,16.968634,16.743232,25.984163,41.69582,30.259986,25,30.259986
11.944879,21.202258,8.971953,14.426319,16.439723,42.352277,16.968634,16.741471,25.970421,41.701901,30.261501,25,30.261501
11.917097,21.193944,9.03314,14.375555,16.415571,42.352404,16.968634,16.739523,25.959516,41.706462,30.263679,25,30.263679
11.961059,21.207,9.086207,14.375146,16.374635,42.353734,16.969012,16.736882,25.964244,41.711086,30.265951,25,30.265951
11.941215,21.202906,9.063443,14.35263,16.387734,42.355952,16.969326,16.733488,25.984416,41.716692,30.268066,25,30.268066
